Timecode List:,00:00:06.399,00:00:08.279,00:00:10.679,00:00:28.398,00:00:29.318,00:00:34.037,00:00:35.997,00:00:36.677,00:00:38.037,00:00:45.556,00:00:47.036,00:00:54.196,00:00:55.995,00:00:58.995,00:01:17.434,00:01:19.873,00:01:23.713,00:01:24.433,00:01:25.553,00:01:37.512,00:01:39.952,00:01:41.032,00:01:42.592,00:01:49.791,00:01:54.151,00:01:56.350,00:02:11.469,00:02:12.389,00:02:13.869,00:02:14.869,00:02:16.029,00:02:17.549,00:02:18.829,00:02:38.147,00:02:39.747,00:02:46.746,00:02:55.586,00:03:13.184,00:03:14.864,00:03:20.504,00:03:30.423,00:03:32.743,00:03:34.222,00:03:35.542,00:03:36.342,00:03:38.702,00:03:44.142,00:03:46.181,00:03:49.301,00:04:18.939,00:04:20.939,00:04:22.338,00:04:23.898,00:04:29.578,00:04:43.097,00:04:45.417,00:05:01.655,00:05:05.935,00:05:19.054,00:05:20.334,00:05:21.934,00:05:48.651,00:05:50.451,00:05:52.211,00:06:10.170,00:06:15.209,00:06:20.169,00:06:23.209,00:06:28.768,00:06:30.848,00:06:33.048,00:06:36.887,00:06:44.047,00:06:46.847,00:06:50.166,00:06:52.526,00:07:16.684,00:07:20.284,00:07:34.283,00:07:47.042,00:07:50.321,00:07:56.761,00:07:58.801,00:08:02.240
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,160,00:00:06.399,6.399,160,00:00:06.399,6.399
2,161,00:00:06.399,6.399,207,00:00:08.279,8.279,47,00:00:01.880,1.880
3,208,00:00:08.279,8.279,267,00:00:10.679,10.679,60,00:00:02.400,2.400
4,268,00:00:10.679,10.679,710,00:00:28.398,28.398,443,00:00:17.719,17.719
5,711,00:00:28.398,28.398,733,00:00:29.318,29.318,23,00:00:00.920,0.920
6,734,00:00:29.318,29.318,851,00:00:34.037,34.037,118,00:00:04.720,4.720
7,852,00:00:34.037,34.037,900,00:00:35.997,35.997,49,00:00:01.960,1.960
8,901,00:00:35.997,35.997,917,00:00:36.677,36.677,17,00:00:00.680,0.680
9,918,00:00:36.677,36.677,951,00:00:38.037,38.037,34,00:00:01.360,1.360
10,952,00:00:38.037,38.037,1139,00:00:45.556,45.556,188,00:00:07.519,7.519
11,1140,00:00:45.556,45.556,1176,00:00:47.036,47.036,37,00:00:01.480,1.480
12,1177,00:00:47.036,47.036,1355,00:00:54.196,54.196,179,00:00:07.159,7.159
13,1356,00:00:54.196,54.196,1400,00:00:55.995,55.995,45,00:00:01.800,1.800
14,1401,00:00:55.995,55.995,1475,00:00:58.995,58.995,75,00:00:03.000,3.000
15,1476,00:00:58.995,58.995,1936,00:01:17.434,77.434,461,00:00:18.438,18.438
16,1937,00:01:17.434,77.434,1997,00:01:19.873,79.873,61,00:00:02.440,2.440
17,1998,00:01:19.873,79.873,2093,00:01:23.713,83.713,96,00:00:03.840,3.840
18,2094,00:01:23.713,83.713,2111,00:01:24.433,84.433,18,00:00:00.720,0.720
19,2112,00:01:24.433,84.433,2139,00:01:25.553,85.553,28,00:00:01.120,1.120
20,2140,00:01:25.553,85.553,2438,00:01:37.512,97.512,299,00:00:11.959,11.959
21,2439,00:01:37.512,97.512,2499,00:01:39.952,99.952,61,00:00:02.440,2.440
22,2500,00:01:39.952,99.952,2526,00:01:41.032,101.032,27,00:00:01.080,1.080
23,2527,00:01:41.032,101.032,2565,00:01:42.592,102.592,39,00:00:01.560,1.560
24,2566,00:01:42.592,102.592,2745,00:01:49.791,109.791,180,00:00:07.199,7.199
25,2746,00:01:49.791,109.791,2854,00:01:54.151,114.151,109,00:00:04.360,4.360
26,2855,00:01:54.151,114.151,2909,00:01:56.350,116.350,55,00:00:02.200,2.200
27,2910,00:01:56.350,116.350,3287,00:02:11.469,131.469,378,00:00:15.119,15.119
28,3288,00:02:11.469,131.469,3310,00:02:12.389,132.389,23,00:00:00.920,0.920
29,3311,00:02:12.389,132.389,3347,00:02:13.869,133.869,37,00:00:01.480,1.480
30,3348,00:02:13.869,133.869,3372,00:02:14.869,134.869,25,00:00:01.000,1.000
31,3373,00:02:14.869,134.869,3401,00:02:16.029,136.029,29,00:00:01.160,1.160
32,3402,00:02:16.029,136.029,3439,00:02:17.549,137.549,38,00:00:01.520,1.520
33,3440,00:02:17.549,137.549,3471,00:02:18.829,138.829,32,00:00:01.280,1.280
34,3472,00:02:18.829,138.829,3954,00:02:38.147,158.147,483,00:00:19.318,19.318
35,3955,00:02:38.147,158.147,3994,00:02:39.747,159.747,40,00:00:01.600,1.600
36,3995,00:02:39.747,159.747,4169,00:02:46.746,166.746,175,00:00:06.999,6.999
37,4170,00:02:46.746,166.746,4390,00:02:55.586,175.586,221,00:00:08.839,8.839
38,4391,00:02:55.586,175.586,4830,00:03:13.184,193.184,440,00:00:17.599,17.599
39,4831,00:03:13.184,193.184,4872,00:03:14.864,194.864,42,00:00:01.680,1.680
40,4873,00:03:14.864,194.864,5013,00:03:20.504,200.504,141,00:00:05.640,5.640
41,5014,00:03:20.504,200.504,5261,00:03:30.423,210.423,248,00:00:09.919,9.919
42,5262,00:03:30.423,210.423,5319,00:03:32.743,212.743,58,00:00:02.320,2.320
43,5320,00:03:32.743,212.743,5356,00:03:34.222,214.222,37,00:00:01.480,1.480
44,5357,00:03:34.222,214.222,5389,00:03:35.542,215.542,33,00:00:01.320,1.320
45,5390,00:03:35.542,215.542,5409,00:03:36.342,216.342,20,00:00:00.800,0.800
46,5410,00:03:36.342,216.342,5468,00:03:38.702,218.702,59,00:00:02.360,2.360
47,5469,00:03:38.702,218.702,5604,00:03:44.142,224.142,136,00:00:05.440,5.440
48,5605,00:03:44.142,224.142,5655,00:03:46.181,226.181,51,00:00:02.040,2.040
49,5656,00:03:46.181,226.181,5733,00:03:49.301,229.301,78,00:00:03.120,3.120
50,5734,00:03:49.301,229.301,6474,00:04:18.939,258.939,741,00:00:29.638,29.638
51,6475,00:04:18.939,258.939,6524,00:04:20.939,260.939,50,00:00:02.000,2.000
52,6525,00:04:20.939,260.939,6559,00:04:22.338,262.338,35,00:00:01.400,1.400
53,6560,00:04:22.338,262.338,6598,00:04:23.898,263.898,39,00:00:01.560,1.560
54,6599,00:04:23.898,263.898,6740,00:04:29.578,269.578,142,00:00:05.680,5.680
55,6741,00:04:29.578,269.578,7078,00:04:43.097,283.097,338,00:00:13.519,13.519
56,7079,00:04:43.097,283.097,7136,00:04:45.417,285.417,58,00:00:02.320,2.320
57,7137,00:04:45.417,285.417,7542,00:05:01.655,301.655,406,00:00:16.239,16.239
58,7543,00:05:01.655,301.655,7649,00:05:05.935,305.935,107,00:00:04.280,4.280
59,7650,00:05:05.935,305.935,7977,00:05:19.054,319.054,328,00:00:13.119,13.119
60,7978,00:05:19.054,319.054,8009,00:05:20.334,320.334,32,00:00:01.280,1.280
61,8010,00:05:20.334,320.334,8049,00:05:21.934,321.934,40,00:00:01.600,1.600
62,8050,00:05:21.934,321.934,8717,00:05:48.651,348.651,668,00:00:26.718,26.718
63,8718,00:05:48.651,348.651,8762,00:05:50.451,350.451,45,00:00:01.800,1.800
64,8763,00:05:50.451,350.451,8806,00:05:52.211,352.211,44,00:00:01.760,1.760
65,8807,00:05:52.211,352.211,9255,00:06:10.170,370.170,449,00:00:17.959,17.959
66,9256,00:06:10.170,370.170,9381,00:06:15.209,375.209,126,00:00:05.040,5.040
67,9382,00:06:15.209,375.209,9505,00:06:20.169,380.169,124,00:00:04.960,4.960
68,9506,00:06:20.169,380.169,9581,00:06:23.209,383.209,76,00:00:03.040,3.040
69,9582,00:06:23.209,383.209,9720,00:06:28.768,388.768,139,00:00:05.560,5.560
70,9721,00:06:28.768,388.768,9772,00:06:30.848,390.848,52,00:00:02.080,2.080
71,9773,00:06:30.848,390.848,9827,00:06:33.048,393.048,55,00:00:02.200,2.200
72,9828,00:06:33.048,393.048,9923,00:06:36.887,396.887,96,00:00:03.840,3.840
73,9924,00:06:36.887,396.887,10102,00:06:44.047,404.047,179,00:00:07.159,7.159
74,10103,00:06:44.047,404.047,10172,00:06:46.847,406.847,70,00:00:02.800,2.800
75,10173,00:06:46.847,406.847,10255,00:06:50.166,410.166,83,00:00:03.320,3.320
76,10256,00:06:50.166,410.166,10314,00:06:52.526,412.526,59,00:00:02.360,2.360
77,10315,00:06:52.526,412.526,10918,00:07:16.684,436.684,604,00:00:24.158,24.158
78,10919,00:07:16.684,436.684,11008,00:07:20.284,440.284,90,00:00:03.600,3.600
79,11009,00:07:20.284,440.284,11358,00:07:34.283,454.283,350,00:00:13.999,13.999
80,11359,00:07:34.283,454.283,11677,00:07:47.042,467.042,319,00:00:12.759,12.759
81,11678,00:07:47.042,467.042,11759,00:07:50.321,470.321,82,00:00:03.280,3.280
82,11760,00:07:50.321,470.321,11920,00:07:56.761,476.761,161,00:00:06.439,6.439
83,11921,00:07:56.761,476.761,11971,00:07:58.801,478.801,51,00:00:02.040,2.040
84,11972,00:07:58.801,478.801,12057,00:08:02.240,482.240,86,00:00:03.440,3.440
85,12058,00:08:02.240,482.240,12168,00:08:06.680,486.680,111,00:00:04.440,4.440
